"Mark","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price"
"Audi","Audi Q3 30 TDI Premium FWD","Mumbai",2017,31000,"Diesel","Automatic","First",18.51,1968,147.51,5,27
"Mercedes-Benz","Mercedes-Benz E-Class E400 Cabriolet","Kolkata",2015,7501,"Petrol","Automatic","First",10,2996,333,4,48
"Mercedes-Benz","Mercedes-Benz GLE 350d","Coimbatore",2018,29277,"Diesel","Automatic","First",11.57,2987,254.79,5,59.65
"Mini","Mini Cooper 3 DOOR D","Kochi",2016,32298,"Diesel","Automatic","First",20.7,1496,113.98,4,23.8
"Audi","Audi Q3 35 TDI Quattro Premium Plus","Bangalore",2015,38000,"Diesel","Automatic","First",15.73,1968,174.33,5,29
"Mercedes-Benz","Mercedes-Benz CLA 200 CDI Sport","Kochi",2019,29836,"Diesel","Automatic","First",17.9,2143,136,5,25.75
"BMW","BMW 7 Series 2007-2012 750Li","Kochi",2010,50161,"Petrol","Automatic","First",8.77,4395,402,5,25.93
"Toyota","Toyota Fortuner 4x4 AT","Coimbatore",2017,68319,"Diesel","Automatic","First",12.55,2982,168.5,7,25.12
"Mercedes-Benz","Mercedes-Benz R-Class R350 CDI 4MATIC","Hyderabad",2010,46000,"Diesel","Automatic","First",11.8,2987,261,7,28
"BMW","BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater","Mumbai",2015,29500,"Diesel","Automatic","First",15.97,2993,258,7,43
"Audi","Audi A6 2011-2015 35 TDI Technology","Mumbai",2015,42000,"Diesel","Automatic","First",17.68,1968,174.33,5,24.25
"Mercedes-Benz","Mercedes-Benz A Class A180 CDI","Bangalore",2014,8000,"Diesel","Automatic","Second",20,2143,107.3,5,19.75
"Land","Land Rover Freelander 2 HSE SD4","Ahmedabad",2012,60000,"Diesel","Automatic","Second",12.35,2179,187.74,5,23.5
"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus","Bangalore",2014,40000,"Diesel","Automatic","First",17.11,1968,174.33,5,22.5
"Mercedes-Benz","Mercedes-Benz M-Class ML 250 CDI","Kolkata",2015,58589,"Diesel","Automatic","First",15.26,2143,203.2,5,27.75
"Ford","Ford Endeavour 2.2 Trend AT 4X2","Pune",2016,75000,"Diesel","Automatic","First",12.62,2198,158,7,24
"BMW","BMW 5 Series 2003-2012 530d","Coimbatore",2016,18090,"Diesel","Automatic","First",16.2,2993,258,5,45.73
"Audi","Audi Q7 3.0 TDI quattro","Coimbatore",2012,91743,"Diesel","Automatic","First",12.07,2967,241.4,7,28.55
"Porsche","Porsche Panamera Diesel","Bangalore",2013,19828,"Diesel","Automatic","Second",17.85,2967,300,4,75
"BMW","BMW 5 Series 520d Luxury Line","Delhi",2013,65000,"Diesel","Automatic","First",22.48,1995,190,5,21.26
"Mercedes-Benz","Mercedes-Benz S Class 2005 2013 S 350 CDI","Bangalore",2009,98000,"Diesel","Automatic","Second",13.5,2987,282,5,25
"Jaguar","Jaguar XJ 3.0L Premium Luxury","Hyderabad",2012,50000,"Diesel","Automatic","First",12.9,2993,271.23,4,45
"Audi","Audi A4 35 TDI Premium","Coimbatore",2016,39237,"Diesel","Automatic","First",17.11,1968,174.33,5,25.64
"Land","Land Rover Discovery Sport SD4 HSE Luxury 7S","Hyderabad",2016,62000,"Diesel","Automatic","First",12.51,2179,187.7,7,44.5
"Jeep","Jeep Compass 2.0 Limited Option 4X4","Jaipur",2017,45000,"Diesel","Manual","First",16.3,1956,170,5,20
"Toyota","Toyota Innova Crysta 2.4 VX MT","Coimbatore",2019,33598,"Diesel","Manual","First",13.68,2393,147.8,7,22.2
"Mercedes-Benz","Mercedes-Benz CLA 200 CDI Sport","Kochi",2019,13414,"Diesel","Automatic","First",17.9,2143,136,5,30.77
"Audi","Audi A6 35 TDI Matrix","Coimbatore",2017,36824,"Diesel","Automatic","First",18.53,1968,187.74,5,39.84
"Mercedes-Benz","Mercedes-Benz CLS-Class 2006-2010 350 CDI","Hyderabad",2010,29000,"Diesel","Automatic","First",9.9,3498,271.72,4,32
"BMW","BMW 3 Series Luxury Line","Ahmedabad",2016,27000,"Diesel","Automatic","First",21.76,1995,190,5,35
"BMW","BMW 5 Series 2013-2017 530d M Sport","Kochi",2015,65266,"Diesel","Automatic","First",14.69,2993,258,5,31.75
"Audi","Audi Q5 3.0 TDI Quattro Technology","Coimbatore",2017,43827,"Diesel","Automatic","First",13.22,2967,241.4,5,36.83
"Hyundai","Hyundai Santa Fe 4WD AT","Coimbatore",2016,28881,"Diesel","Automatic","First",13.01,2199,194.3,7,21.37
"BMW","BMW X6 xDrive30d","Delhi",2011,59000,"Diesel","Automatic","First",11.2,2993,241,4,21.9
"BMW","BMW 5 Series 2013-2017 520d Luxury Line","Coimbatore",2016,76467,"Diesel","Automatic","First",18.12,1995,190,5,30.45
"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Avantgrade","Coimbatore",2016,39753,"Diesel","Automatic","First",13,2143,201.1,5,35.28
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Style","Hyderabad",2017,10000,"Diesel","Automatic","First",19.27,2143,167.62,5,36
"Mercedes-Benz","Mercedes-Benz GLC 220d 4MATIC Style","Coimbatore",2019,29311,"Diesel","Automatic","First",17.9,2143,170,5,50.97
"BMW","BMW 3 Series Luxury Line","Mumbai",2016,31000,"Diesel","Automatic","First",21.76,1995,190,5,29.95
"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Launch Edition","Coimbatore",2015,73187,"Diesel","Automatic","First",13,2143,204,5,30.72
"Audi","Audi A4 35 TDI Premium","Bangalore",2015,58970,"Diesel","Automatic","First",17.11,1968,174.33,5,23.75
"Mercedes-Benz","Mercedes-Benz GLA Class 200 CDI","Hyderabad",2014,30000,"Diesel","Automatic","First",17.9,2143,136,5,26
"Land","Land Rover Range Rover Sport HSE","Kochi",2015,38467,"Diesel","Automatic","First",12.65,2993,255,5,70.66
"Toyota","Toyota Innova Crysta 2.8 ZX AT","Kochi",2017,26023,"Diesel","Automatic","First",11.36,2755,171.5,7,19.97
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance","Hyderabad",2014,53000,"Diesel","Automatic","Second",14.21,2143,203,5,29
"Audi","Audi Q5 2.0 TDI Premium Plus","Coimbatore",2014,87652,"Diesel","Automatic","Second",14.16,1968,174.3,5,25.71
"BMW","BMW 3 Series 320d Prestige","Mumbai",2015,56000,"Diesel","Automatic","First",18.88,1995,184,5,22.75
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency","Delhi",2014,30000,"Diesel","Automatic","First",14.21,2143,203,5,26
"Jaguar","Jaguar XF 3.0 Litre S Premium Luxury","Mumbai",2014,30900,"Diesel","Automatic","First",14.74,2993,270.9,5,29.5
"Audi","Audi A6 35 TFSI Matrix","Delhi",2018,22000,"Petrol","Automatic","First",15.26,1798,187.74,5,41.5
"Mercedes-Benz","Mercedes-Benz CLA 200 CDI Sport","Kochi",2016,32345,"Diesel","Automatic","First",17.9,2143,136,5,24.51
"Skoda","Skoda Superb Style 1.8 TSI AT","Mumbai",2016,14500,"Petrol","Automatic","First",14.67,1798,177.46,5,20.75
"Toyota","Toyota Fortuner 4x2 AT","Hyderabad",2016,55547,"Diesel","Automatic","First",12.55,2982,168.5,7,24.99
"Volvo","Volvo XC60 D5","Hyderabad",2015,100000,"Diesel","Automatic","First",13.5,2400,215,5,32.5
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance","Pune",2016,45000,"Diesel","Automatic","First",14.21,2143,203,5,34
"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",2018,27467,"Diesel","Automatic","First",19.27,2143,167.62,5,39.05
"Audi","Audi Q7 35 TDI Quattro Technology","Coimbatore",2016,32545,"Diesel","Automatic","First",12.07,2967,241.4,7,48.76
"Jaguar","Jaguar XF 2.2 Litre Luxury","Mumbai",2018,3000,"Diesel","Automatic","First",16.36,2179,187.7,5,52.5
"BMW","BMW X3 xDrive20d","Bangalore",2012,52000,"Diesel","Automatic","First",16.09,1995,184,5,24
"Mercedes-Benz","Mercedes-Benz CLA 200 CGI Sport","Delhi",2016,40000,"Petrol","Automatic","First",15.04,1991,183,5,24.5
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde","Coimbatore",2016,43252,"Diesel","Automatic","First",13,2143,204,5,34.18
"BMW","BMW X1 sDrive20d","Bangalore",2016,45000,"Diesel","Automatic","First",17.05,1995,184,5,28.5
"Mercedes-Benz","Mercedes-Benz E-Class E350 CDI","Delhi",2014,68000,"Diesel","Automatic","First",13,2987,261.5,5,27.5
"Audi","Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus","Jaipur",2014,65000,"Diesel","Automatic","Second",15.73,1968,174.33,5,21.5
"Land","Land Rover Discovery Sport TD4 HSE","Delhi",2016,77000,"Diesel","Automatic","First",12.63,2179,147.5,5,35
"Audi","Audi RS5 Coupe","Mumbai",2013,23312,"Petrol","Automatic","First",11.05,2894,444,4,40.5
"Audi","Audi Q5 2.0 TDI Premium Plus","Coimbatore",2015,60146,"Diesel","Automatic","First",14.16,1968,174.3,5,29.64
"Jaguar","Jaguar XF 2.2 Litre Luxury","Hyderabad",2015,50000,"Diesel","Automatic","First",16.36,2179,187.7,5,38
"BMW","BMW 5 Series 520d Luxury Line","Coimbatore",2014,60280,"Diesel","Automatic","First",22.48,1995,190,5,22.45
"Mercedes-Benz","Mercedes-Benz B Class B200 CDI","Coimbatore",2017,48161,"Diesel","Automatic","First",15,2143,107.3,5,20.87
"Land","Land Rover Range Rover 3.0 Diesel LWB Vogue","Hyderabad",2017,25000,"Diesel","Automatic","First",13.33,2993,255,5,160
"Audi","Audi A4 3.0 TDI Quattro","Coimbatore",2015,35463,"Diesel","Automatic","First",14.94,2967,241.4,5,25.02
"Toyota","Toyota Camry Hybrid 2.5","Coimbatore",2017,23249,"Petrol","Automatic","First",19.16,2487,175.67,5,26.11
"BMW","BMW X5 xDrive 30d M Sport","Chennai",2016,45000,"Diesel","Automatic","First",15.97,2993,258,5,57
"Audi","Audi Q5 2.0 TDI","Delhi",2013,71000,"Diesel","Automatic","First",14.16,1968,174.3,5,21.5
"Mitsubishi","Mitsubishi Pajero Sport 4X4 AT","Coimbatore",2019,11827,"Diesel","Automatic","First",13.5,2477,175.56,6,27.11
"Audi","Audi Q5 30 TDI quattro Premium Plus","Bangalore",2015,63000,"Diesel","Automatic","First",14.16,1968,174.3,5,36
"Mitsubishi","Mitsubishi Pajero Sport 4X4 AT","Bangalore",2018,8900,"Diesel","Automatic","First",13.5,2477,175.56,6,26.5
"Toyota","Toyota Fortuner 2.8 2WD MT","Coimbatore",2019,56251,"Diesel","Manual","First",14.24,2755,174.5,7,35.82
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 Edition E","Coimbatore",2017,43477,"Diesel","Automatic","First",15,2143,204,5,38.15
"Toyota","Toyota Innova Crysta 2.8 ZX AT","Bangalore",2017,53841,"Diesel","Automatic","First",11.36,2755,171.5,7,20.5
"Mercedes-Benz","Mercedes-Benz GL-Class 350 CDI Blue Efficiency","Chennai",2015,45000,"Diesel","Automatic","First",11.3,2987,254.8,7,56
"Porsche","Porsche Panamera Diesel","Kochi",2015,54996,"Diesel","Automatic","First",17.85,2967,300,4,60.95
"Audi","Audi Q3 35 TDI Quattro Premium","Chennai",2015,28000,"Diesel","Automatic","First",15.73,1968,174.33,5,23.75
"BMW","BMW 7 Series 730Ld Sedan","Chennai",2010,58000,"Diesel","Automatic","First",16.46,2993,258,5,31
"Audi","Audi Q5 2.0 TDI Premium Plus","Bangalore",2014,53900,"Diesel","Automatic","First",14.16,1968,174.3,5,29
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde","Kolkata",2014,34233,"Diesel","Automatic","First",14.21,2143,203,5,22.5
"BMW","BMW X6 xDrive30d","Coimbatore",2014,39626,"Diesel","Automatic","First",11.2,2993,241,4,40.66
"Ford","Ford Endeavour 3.2 Trend AT 4X4","Chennai",2016,43000,"Diesel","Automatic","First",10.91,3198,197.2,7,26.5
"Audi","Audi Q3 30 TDI Premium FWD","Coimbatore",2018,22060,"Diesel","Automatic","First",18.51,1968,147.51,5,32.73
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic","Chennai",2012,63000,"Diesel","Automatic","First",13.51,2987,165,5,26
"Audi","Audi A4 35 TDI Premium Plus","Kochi",2015,13506,"Diesel","Automatic","First",18.25,1968,187.74,5,21.66
"Audi","Audi Q5 3.0 TDI Quattro","Bangalore",2015,63000,"Diesel","Automatic","First",13.22,2967,241.4,5,34.5
"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2013,56500,"Diesel","Automatic","First",17.68,1968,174.33,5,19.8
"Audi","Audi Q7 3.0 TDI Quattro Premium Plus","Coimbatore",2014,72469,"Diesel","Automatic","First",12.07,2967,241.4,7,32.52
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde","Coimbatore",2016,65405,"Diesel","Automatic","First",13,2143,204,5,32.73
"Toyota","Toyota Fortuner 4x2 AT TRD Sportivo","Delhi",2015,36000,"Diesel","Automatic","Second",12.55,2982,168.7,7,21.5
"BMW","BMW X1 xDrive 20d M Sport","Kolkata",2017,27001,"Diesel","Automatic","First",20.68,1995,190,5,29
"Audi","Audi Q7 35 TDI Quattro Technology","Coimbatore",2016,45180,"Diesel","Automatic","First",12.07,2967,241.4,7,50.22
"Mercedes-Benz","Mercedes-Benz GLA Class 200 CDI SPORT","Delhi",2015,27000,"Diesel","Automatic","First",17.9,2143,136,5,23
"Toyota","Toyota Innova Crysta 2.4 VX MT 8S","Coimbatore",2019,31271,"Diesel","Manual","First",13.68,2393,147.8,8,21.42
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Avantgarde","Delhi",2016,20000,"Diesel","Automatic","First",19.27,2143,170,5,33
"BMW","BMW 6 Series Gran Coupe","Kochi",2018,20004,"Diesel","Automatic","First",17.54,2993,313,4,68.94
"Jaguar","Jaguar XF Diesel","Coimbatore",2012,94521,"Diesel","Automatic","First",14.74,2993,270.9,5,23.19
"Porsche","Porsche Cayenne Diesel","Coimbatore",2015,60395,"Diesel","Automatic","First",16.12,2967,245,5,45.82
"Mercedes-Benz","Mercedes-Benz New C-Class 220 CDI MT","Chennai",2015,26000,"Diesel","Manual","First",15.8,2148,170,5,26
"BMW","BMW 7 Series 730Ld","Chennai",2014,35000,"Diesel","Automatic","First",16.46,2993,258,5,52
"Audi","Audi Q7 4.2 TDI Quattro Technology","Bangalore",2015,50000,"Diesel","Automatic","First",11.33,4134,335.2,7,48
"BMW","BMW X5 xDrive 30d","Hyderabad",2011,124652,"Diesel","Automatic","First",11.7,2993,245,5,21.99
"Audi","Audi A4 35 TDI Premium","Hyderabad",2015,60000,"Diesel","Automatic","First",17.11,1968,174.33,5,25
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic","Coimbatore",2016,27833,"Diesel","Automatic","First",13.51,2987,165,5,49.24
"BMW","BMW 3 Series GT 320d Luxury Line","Hyderabad",2015,36255,"Diesel","Automatic","First",19.59,1995,184,5,33
"BMW","BMW X5 xDrive 30d","Chennai",2011,58000,"Diesel","Automatic","Second",11.7,2993,245,5,27
"Mercedes-Benz","Mercedes-Benz New C-Class C220 CDI Executive Edition","Kochi",2019,17320,"Diesel","Automatic","First",15.8,2148,170,5,37.99
"Audi","Audi Q7 3.0 TDI Quattro Technology","Hyderabad",2014,60000,"Diesel","Automatic","First",12.07,2967,241.4,7,45
"Ford","Ford Mustang V8","Kochi",2018,21290,"Petrol","Automatic","First",13,4951,395,4,56.8
"Land","Land Rover Freelander 2 SE","Kochi",2014,61730,"Diesel","Automatic","First",12.39,2179,147.51,5,19.94
"Audi","Audi Q7 3.0 TDI Quattro Technology","Coimbatore",2014,102865,"Diesel","Automatic","First",12.07,2967,241.4,7,30.5
"Volvo","Volvo XC90 2007-2015 D5 AT AWD","Kochi",2014,102001,"Diesel","Automatic","First",11.1,2400,200,7,23.58
"Audi","Audi Q7 3.0 TDI Quattro Premium Plus","Hyderabad",2015,50000,"Diesel","Automatic","First",12.07,2967,241.4,7,47.5
"BMW","BMW 3 Series 320d Sport Line","Mumbai",2014,23000,"Diesel","Automatic","First",18.88,1995,184,5,19.9
"Jaguar","Jaguar XF 2.2 Litre Executive","Bangalore",2015,19000,"Diesel","Automatic","Second",16.36,2179,187.7,5,38
"Mercedes-Benz","Mercedes-Benz GLE 350d","Chennai",2016,29000,"Diesel","Automatic","First",11.57,2987,254.79,5,65
"Mercedes-Benz","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Pune",2013,100000,"Diesel","Automatic","First",12,2987,224,7,32
"Audi","Audi Q5 30 TDI quattro Premium Plus","Coimbatore",2016,47293,"Diesel","Automatic","First",14.16,1968,174.3,5,38.72
"BMW","BMW 3 Series Luxury Line","Pune",2016,70000,"Diesel","Automatic","Second",21.76,1995,190,5,27
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore",2013,25000,"Diesel","Automatic","Second",14.84,2143,167.62,5,21
"BMW","BMW 3 Series 320d GT Luxury Line","Mumbai",2017,8000,"Diesel","Automatic","First",19.59,1995,187.74,5,33.75
"Jaguar","Jaguar XF 2.2 Litre Luxury","Kochi",2015,27001,"Diesel","Automatic","First",16.36,2179,187.7,5,26.52
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance","Pune",2014,100000,"Diesel","Automatic","First",14.21,2143,203,5,25
"Audi","Audi A4 35 TDI Technology Edition","Kochi",2019,38163,"Diesel","Automatic","First",17.11,1968,174.33,5,32.91
"Audi","Audi Q3 35 TDI Quattro Premium Plus","Coimbatore",2017,42366,"Diesel","Automatic","First",15.73,1968,174.33,5,31.93
"BMW","BMW X1 sDrive 20d xLine","Coimbatore",2019,15456,"Diesel","Automatic","First",20.68,1995,190,5,36.64
"BMW","BMW X5 X5 M","Chennai",2017,15000,"Diesel","Automatic","First",15.97,2993,258,5,70
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Celebration Edition","Kolkata",2016,34000,"Diesel","Automatic","First",11.78,2143,167.62,5,25.5
"BMW","BMW 5 Series 525d Sedan","Hyderabad",2013,93000,"Diesel","Automatic","First",16.73,2993,218,5,26.5
"Audi","Audi A4 2.0 TDI Multitronic","Ahmedabad",2015,13000,"Diesel","Automatic","First",16.55,1968,140,5,23
"BMW","BMW 6 Series 650i Coupe","Kochi",2010,65329,"Petrol","Automatic","First",7.94,4395,450,4,20.72
"Toyota","Toyota Fortuner 4x2 AT","Pune",2015,36000,"Diesel","Automatic","First",12.55,2982,168.5,7,22
"Jaguar","Jaguar XF 2.2 Litre Luxury","Pune",2013,46000,"Diesel","Automatic","Second",16.36,2179,187.7,5,24
"Mercedes-Benz","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Delhi",2015,55000,"Diesel","Automatic","First",12,2987,224,7,52
"Mercedes-Benz","Mercedes-Benz GLA Class 200 CDI SPORT","Kolkata",2015,35000,"Diesel","Automatic","First",17.9,2143,136,5,20.99
"Audi","Audi A4 35 TDI Technology Edition","Hyderabad",2015,30000,"Diesel","Automatic","First",17.11,1968,174.33,5,27
"Toyota","Toyota Fortuner 2.8 2WD MT","Coimbatore",2017,72668,"Diesel","Manual","First",14.24,2755,174.5,7,28.85
"Mercedes-Benz","Mercedes-Benz SLK-Class 55 AMG","Bangalore",2014,3000,"Petrol","Automatic","Second",12,5461,421,2,90
"Jaguar","Jaguar XF Aero Sport Edition","Delhi",2012,16000,"Diesel","Automatic","First",16.36,2179,187.7,5,32
"Land","Land Rover Freelander 2 SE","Pune",2014,85000,"Diesel","Automatic","Second",12.39,2179,147.51,5,23
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic","Bangalore",2015,20000,"Diesel","Automatic","First",13.51,2987,165,5,47.35
"BMW","BMW X3 xDrive30d M Sport","Bangalore",2016,49000,"Diesel","Automatic","First",16.55,2993,258,5,45
"Mercedes-Benz","Mercedes-Benz SL-Class SL 500","Kolkata",2010,35000,"Petrol","Automatic","First",8.1,5461,387.3,2,29.5
"Audi","Audi Q3 2012-2015 35 TDI Quattro Premium Plus","Delhi",2016,42000,"Diesel","Automatic","First",15.73,1968,174.33,5,23.5
"Ford","Ford Endeavour 2.2 Trend MT 4X4","Kochi",2017,38681,"Diesel","Manual","First",13.5,2198,157.7,7,23.86
"Mini","Mini Cooper Countryman D","Bangalore",2014,35165,"Diesel","Automatic","Second",23.8,1998,112,5,22
"Land","Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic","Hyderabad",2016,52000,"Diesel","Automatic","First",15.68,1999,177,5,42
"Mercedes-Benz","Mercedes-Benz GLA Class 200 CDI","Mumbai",2016,43022,"Diesel","Automatic","First",17.9,2143,136,5,24.85
"Mercedes-Benz","Mercedes-Benz S-Class S 350 d","Bangalore",2011,47140,"Diesel","Automatic","Second",13.5,2925,281.61,5,30
"Mercedes-Benz","Mercedes-Benz B Class B200 CDI","Bangalore",2016,36610,"Diesel","Automatic","First",15,2143,107.3,5,19.9
"Volvo","Volvo V40 D3 R Design","Hyderabad",2015,38000,"Diesel","Automatic","Second",16.8,1969,150,5,24
"BMW","BMW 7 Series 2007-2012 730Ld","Hyderabad",2009,53000,"Diesel","Automatic","First",14.49,2993,258,5,36
"BMW","BMW 3 Series Luxury Line","Kochi",2018,21936,"Diesel","Automatic","First",21.76,1995,190,5,37.92
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency","Bangalore",2013,48000,"Diesel","Automatic","First",14.21,2143,203,5,22
"Land","Land Rover Freelander 2 SE","Hyderabad",2011,68000,"Diesel","Automatic","First",12.39,2179,147.51,5,22
"Mercedes-Benz","Mercedes-Benz GLA Class 200 Sport Edition","Chennai",2016,28000,"Petrol","Automatic","First",13.7,1991,183,5,26
"Audi","Audi Q5 2008-2012 2.0 TDI","Coimbatore",2013,80127,"Diesel","Automatic","First",12.8,1968,167.6,5,23.68
"BMW","BMW X5 xDrive 30d","Chennai",2009,110000,"Diesel","Automatic","First",11.7,2993,245,5,20
"BMW","BMW 6 Series 630i Coupe","Mumbai",2011,5900,"Petrol","Automatic","First",7.94,4395,450,4,47.5
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Avantgarde","Mumbai",2015,16329,"Diesel","Automatic","First",19.27,2143,170,5,30.3
"BMW","BMW X3 xDrive20d xLine","Kochi",2017,41816,"Diesel","Automatic","First",18.56,1995,190,5,32.78
"Audi","Audi A4 35 TDI Technology","Hyderabad",2017,14000,"Diesel","Automatic","First",18.25,1968,187.74,5,43
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Style","Hyderabad",2015,39000,"Diesel","Automatic","First",19.27,2143,167.62,5,34
"Land","Land Rover Range Rover 3.6 TDV8 Vogue SE","Coimbatore",2012,84384,"Diesel","Automatic","First",10.2,4367,308,7,52.54
"Mercedes-Benz","Mercedes-Benz M-Class ML 250 CDI","Hyderabad",2014,50000,"Diesel","Automatic","First",15.26,2143,203.2,5,45
"BMW","BMW Z4 2009-2013 Roadster 2.5i","Kochi",2018,9952,"Petrol","Automatic","First",10.37,2979,306,2,58.54
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Hyderabad",2018,15000,"Diesel","Automatic","First",10.91,3198,197,7,33
"Mercedes-Benz","Mercedes-Benz GLC 220d 4MATIC Style","Mumbai",2017,24000,"Diesel","Automatic","First",17.9,2143,170,5,46.95
"Mercedes-Benz","Mercedes-Benz M-Class ML 250 CDI","Jaipur",2014,66000,"Diesel","Automatic","First",15.26,2143,203.2,5,30
"Land","Land Rover Discovery Sport TD4 S","Delhi",2017,22000,"Diesel","Automatic","First",12.83,2179,147.5,5,35
"BMW","BMW X5 xDrive 30d","Chennai",2011,55000,"Diesel","Automatic","Second",11.7,2993,245,5,28
"Audi","Audi A6 2011-2015 35 TDI Technology","Hyderabad",2015,50000,"Diesel","Automatic","First",17.68,1968,174.33,5,36
"Audi","Audi Q7 4.2 TDI Quattro Technology","Coimbatore",2015,56238,"Diesel","Automatic","First",11.33,4134,335.2,7,51.69
"Audi","Audi A4 35 TDI Premium Plus","Coimbatore",2014,28469,"Diesel","Automatic","First",18.25,1968,187.74,5,24.37
"Mercedes-Benz","Mercedes-Benz M-Class ML 250 CDI","Mumbai",2012,52000,"Diesel","Automatic","First",15.26,2143,203.2,5,29.95
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Avantgarde","Coimbatore",2017,26493,"Diesel","Automatic","First",19.27,2143,170,5,33.64
"BMW","BMW 5 Series 2003-2012 525d","Hyderabad",2011,101999,"Diesel","Automatic","First",16.73,1995,218,5,19.99
"BMW","BMW 5 Series 530d M Sport","Hyderabad",2016,27000,"Diesel","Automatic","First",18.59,2993,265,5,48
"BMW","BMW X3 xDrive20d","Bangalore",2016,45165,"Diesel","Automatic","First",16.09,1995,184,5,41.75
"BMW","BMW X3 xDrive 20d xLine","Kochi",2017,36723,"Diesel","Automatic","First",18.56,1995,190,5,32.57
"Audi","Audi Q7 45 TDI Quattro Technology","Pune",2017,59500,"Diesel","Automatic","First",14.75,2967,245,7,68
"Land","Land Rover Freelander 2 TD4 SE","Hyderabad",2013,46000,"Diesel","Automatic","Second",12.39,2179,115,5,26
"Audi","Audi A4 2.0 TDI 177 Bhp Technology Edition","Bangalore",2014,29000,"Diesel","Automatic","First",17.11,1968,174.33,5,26
"Land","Land Rover Discovery Sport TD4 HSE 7S","Coimbatore",2019,24013,"Diesel","Automatic","First",12.81,1999,148.31,7,56.14
"Audi","Audi A4 2.0 TDI Premium Sport Limited Edition","Coimbatore",2015,44811,"Diesel","Automatic","First",17.11,1968,174.33,5,25.81
"Land","Land Rover Discovery Sport SD4 HSE Luxury 7S","Coimbatore",2019,17201,"Diesel","Automatic","First",12.51,2179,187.7,7,58.91
"Mercedes-Benz","Mercedes-Benz E-Class E 200 CGI","Mumbai",2013,50319,"Petrol","Automatic","First",12,1991,181.03,5,21.95
"Mercedes-Benz","Mercedes-Benz New C-Class C 200 Kompressor Elegance AT","Kolkata",2007,43627,"Petrol","Automatic","First",11.74,1796,186,5,29
"BMW","BMW 3 Series 330 Ci Convertible","Delhi",2011,31000,"Petrol","Automatic","First",10.9,2497,215,5,31
"Jaguar","Jaguar XJ 5.0 L V8 Supercharged","Coimbatore",2011,43686,"Petrol","Automatic","First",10.5,5000,503,4,50.66
"Mercedes-Benz","Mercedes-Benz GLC 220d Celebration Edition","Kochi",2017,26192,"Diesel","Automatic","First",17.9,2143,168,5,40.47
"Audi","Audi Q5 2008-2012 2.0 TDI","Delhi",2014,44999,"Diesel","Automatic","First",12.8,1968,167.6,5,25
"Mercedes-Benz","Mercedes-Benz GLE 250d","Hyderabad",2016,50000,"Diesel","Automatic","First",17.9,2143,201.15,5,49
"Mercedes-Benz","Mercedes-Benz GLE 350d","Bangalore",2016,28541,"Diesel","Automatic","First",11.57,2987,254.79,5,60.75
"Toyota","Toyota Fortuner 4x2 Manual","Chennai",2015,99000,"Diesel","Manual","First",13,2982,168.5,7,20.5
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance","Delhi",2014,42000,"Diesel","Automatic","First",14.21,2143,203,5,24.95
"Audi","Audi Q7 3.0 TDI quattro","Coimbatore",2014,118218,"Diesel","Automatic","First",12.07,2967,241.4,7,31.41
